f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,y_1,y_2
2.15,15.55,4.54,79.44,70.94,52.42,54.6,47.12,50.17,0,1
31.56,2.85,5.67,46.11,46.0,6.68,23.82,60.05,67.47,1,0
12.88,16.28,35.93,24.91,82.55,9.51,42.0,42.87,42.71,0,0
4.71,16.36,8.62,97.68,36.43,37.48,45.99,61.42,50.12,0,0
9.24,3.54,13.81,28.02,47.0,61.12,40.67,58.11,46.53,1,0
2.91,20.42,11.89,15.71,81.23,79.74,39.88,40.21,60.27,0,0
6.52,6.8,9.24,76.42,49.63,4.72,41.02,49.9,58.65,0,1
6.43,1.03,29.39,84.7,48.98,98.92,32.39,37.11,73.15,1,0
17.78,3.08,1.12,83.4,96.08,49.46,45.4,59.56,42.91,1,1
10.36,29.43,5.39,97.02,96.2,47.05,54.9,49.9,52.77,0,0
2.36,19.08,6.65,45.31,89.41,83.94,39.21,49.84,66.94,0,1
14.11,1.38,2.33,6.01,68.46,67.28,51.83,43.78,52.75,1,1
15.0,12.71,13.99,15.51,11.5,27.11,55.01,47.07,80.04,0,0
4.18,1.04,4.22,52.92,25.78,47.24,50.81,34.17,53.88,1,0
2.4,3.41,23.78,23.93,23.55,74.52,34.27,44.64,37.44,0,0
1.14,3.33,2.22,37.5,1.51,9.72,76.36,51.51,41.65,0,0
6.7,3.76,2.32,62.11,27.03,6.91,38.57,47.3,61.5,0,0
2.13,9.67,3.05,70.7,72.63,91.87,47.98,36.62,40.96,0,0
15.12,15.37,30.04,7.27,96.05,63.92,48.54,45.79,51.21,0,0
13.38,2.51,6.95,8.32,17.24,91.73,54.91,30.91,51.12,1,0
4.19,11.88,2.46,47.18,28.96,71.56,68.07,68.14,55.55,0,0
8.97,14.92,8.86,63.31,59.84,1.08,44.72,52.11,39.88,0,0
3.06,10.82,5.82,17.61,45.1,72.94,55.22,41.37,46.44,0,0
10.77,1.96,1.13,52.63,16.12,13.04,80.18,37.19,52.7,0,1
3.4,15.92,2.28,44.49,49.48,60.22,50.14,40.78,40.12,0,0
6.11,12.25,12.78,36.28,32.01,93.66,48.41,37.63,39.01,0,0
10.07,5.72,1.81,86.71,24.56,84.4,47.65,32.27,68.2,0,1
13.79,2.76,4.17,93.45,64.67,18.15,43.04,53.4,35.65,1,0
4.29,4.97,1.91,53.99,90.54,48.21,51.49,48.11,56.0,1,1
15.14,4.11,17.82,49.01,62.95,20.89,52.04,42.76,59.04,1,0
3.56,27.7,5.05,89.98,38.95,41.52,58.74,55.21,45.7,0,0
18.79,5.64,1.27,23.64,50.28,9.89,46.65,50.84,76.22,1,1
6.55,1.08,1.75,20.11,24.43,79.45,44.99,66.04,66.11,1,1
16.71,10.21,18.04,56.0,49.35,72.14,64.6,44.05,52.44,0,0
4.17,18.17,13.72,15.09,92.22,29.48,54.19,44.99,29.33,0,0
23.23,13.9,3.93,7.24,19.25,8.16,59.95,49.54,34.16,0,0
3.89,40.1,16.9,63.16,39.37,70.85,43.39,57.63,49.93,0,0
7.71,48.14,3.03,29.23,32.73,53.33,36.76,54.93,36.92,0,1
11.68,6.97,8.06,93.64,84.44,76.03,44.67,37.52,47.96,1,1
26.75,5.34,2.12,68.97,76.65,89.31,40.61,50.79,40.5,1,0
19.07,23.47,12.1,8.97,8.17,81.0,35.94,60.49,26.74,0,0
10.01,2.23,23.3,73.33,23.1,67.64,57.68,65.66,48.1,1,0
30.43,2.49,32.12,2.79,47.66,13.11,65.97,35.29,55.54,1,0
18.18,3.27,13.0,76.77,72.56,81.7,43.86,60.99,66.54,1,0
1.4,9.83,3.72,80.67,1.18,63.26,51.65,31.1,50.2,0,0
11.28,20.64,18.37,97.98,57.82,15.22,31.52,41.8,63.91,0,0
10.12,8.47,2.87,58.64,36.33,60.87,38.73,68.76,29.66,0,0
2.97,33.25,6.01,94.51,16.93,25.38,39.33,56.65,36.41,0,0
3.45,27.67,35.63,73.25,91.31,43.79,67.68,26.18,47.32,0,0
8.13,9.53,2.15,96.85,77.66,78.32,65.2,40.86,60.98,0,1
5.43,37.78,22.0,48.2,34.1,2.47,45.88,45.0,46.64,0,0
7.37,4.65,15.91,44.2,69.03,87.41,44.76,53.31,42.43,0,0
15.87,10.28,14.7,38.41,48.29,32.28,48.5,37.65,45.65,0,0
13.32,1.73,7.19,17.17,40.97,4.52,63.15,49.81,36.45,1,0
4.21,3.65,2.44,23.94,76.42,82.31,58.16,69.66,42.82,1,1
4.02,12.52,1.48,52.34,1.96,65.81,45.59,25.05,38.98,1,0
10.05,15.71,12.16,1.91,28.36,53.09,45.87,33.09,34.04,1,0
2.11,8.06,14.94,30.0,19.83,87.53,31.7,25.24,55.98,0,0
3.85,2.44,3.09,23.8,60.41,34.19,54.68,37.46,62.72,1,1
7.9,10.04,7.75,26.67,10.4,31.75,70.59,46.89,53.63,0,0
1.75,19.65,9.62,14.5,58.74,87.43,61.45,31.15,59.53,0,0
5.72,17.28,5.17,58.33,37.28,23.15,57.9,49.44,81.21,0,0
6.07,1.14,3.19,73.97,86.14,77.48,38.26,42.9,63.39,1,0
10.62,7.31,7.88,15.94,53.53,5.81,63.22,49.53,47.22,0,0
13.68,18.72,17.67,15.11,22.43,95.2,41.83,33.33,56.32,0,0
2.61,12.56,17.26,28.31,12.51,41.24,52.09,59.52,69.86,0,0
2.08,1.76,4.51,3.58,58.6,5.46,35.9,36.83,69.56,1,1
10.67,3.3,7.01,85.75,40.77,25.02,70.11,36.9,72.52,0,0
8.02,6.56,19.26,5.02,85.03,8.92,49.07,35.37,57.18,1,1
6.04,5.73,7.07,13.1,24.13,44.98,37.41,44.13,56.6,0,0
1.97,6.75,3.94,61.17,12.11,29.33,19.43,66.19,66.85,0,1
10.62,2.13,3.53,5.79,23.54,82.53,66.29,55.21,62.34,1,0
6.39,5.93,9.33,43.19,82.02,62.88,54.23,29.93,63.8,1,0
2.35,18.14,6.36,86.11,5.96,14.12,68.4,33.53,48.88,0,0
11.27,3.65,3.81,32.8,41.51,87.93,48.83,37.01,42.16,1,0
31.3,3.2,20.47,2.07,47.45,84.38,35.02,33.38,32.46,0,0
5.4,40.83,12.77,35.57,84.13,89.73,35.45,47.54,29.88,0,0
7.74,1.23,2.96,45.59,4.15,14.11,31.95,74.24,30.94,1,0
12.66,2.22,7.53,24.84,44.0,88.39,67.42,51.46,46.56,1,0
8.99,5.99,46.31,72.35,55.84,79.25,24.5,26.66,1.0,1,0
5.98,2.08,22.01,98.76,61.59,30.74,48.48,52.49,35.72,1,0
17.38,5.02,10.52,94.39,9.06,21.7,50.07,23.73,66.72,0,0
8.33,16.12,8.19,43.55,14.6,78.03,52.4,44.18,46.92,0,0
4.31,2.64,13.74,26.76,94.27,19.18,62.39,32.33,49.62,1,0
19.82,7.19,4.86,45.39,63.18,65.03,44.73,47.18,51.29,0,0
2.71,3.15,6.99,70.36,92.25,77.91,62.35,59.57,51.06,1,0
6.96,6.6,1.34,25.59,98.35,54.2,43.27,58.06,46.56,1,1
2.55,7.79,6.97,10.12,82.58,76.3,43.21,49.57,47.56,1,1
12.44,4.42,28.56,47.52,53.27,75.84,50.63,39.59,51.6,1,0
14.16,14.85,18.33,33.18,37.14,32.71,51.35,38.27,57.1,0,0
1.35,18.19,1.77,28.28,76.4,33.43,69.06,21.42,53.57,0,1
3.25,6.92,4.66,7.36,26.09,95.92,58.53,33.34,45.11,1,0
2.38,17.42,13.89,43.27,37.04,82.07,69.91,41.8,64.9,0,0
15.98,6.54,5.94,59.93,83.56,44.51,31.39,40.71,43.11,1,1
8.02,13.19,11.94,26.19,38.74,8.88,54.13,47.2,41.7,0,0
2.08,31.2,1.07,87.37,67.06,69.97,40.93,60.93,36.8,0,1
5.34,18.35,8.91,19.21,84.2,12.69,61.06,43.57,53.95,0,1
10.25,1.6,4.42,93.87,93.5,89.7,71.75,35.94,74.1,1,0
7.32,20.21,3.41,65.24,10.7,49.82,29.04,32.16,42.75,0,0
2.72,41.58,5.77,60.4,94.63,64.04,49.45,53.1,38.35,0,1
13.83,7.21,2.84,47.69,54.56,92.55,62.57,74.3,21.04,0,0
1.15,8.87,2.7,16.38,74.93,74.52,44.93,42.97,52.78,0,1
15.02,5.32,5.63,61.11,29.62,9.54,72.34,42.6,58.95,0,0
15.52,13.98,8.85,85.29,7.99,60.33,59.15,45.56,40.83,0,0
6.97,1.36,1.57,21.39,94.61,48.83,45.99,38.3,60.0,1,1
42.29,23.39,51.17,98.78,8.33,93.61,66.83,53.55,47.58,0,0
16.16,2.63,11.19,57.51,4.55,26.02,58.1,47.86,65.49,0,0
29.83,9.44,5.46,13.48,11.64,64.71,55.76,43.19,40.95,0,0
28.48,5.94,11.48,60.11,95.11,8.41,44.94,37.36,70.24,1,0
2.03,52.12,9.55,29.29,17.29,22.39,62.69,40.28,48.61,0,0
13.28,2.98,2.27,54.86,69.13,35.9,35.25,41.15,47.83,1,1
26.24,6.53,6.19,57.28,53.17,71.31,36.43,50.29,74.69,0,0
9.13,1.14,18.75,70.25,51.4,72.57,43.49,23.06,40.88,1,1
7.44,11.96,9.7,41.82,76.29,80.27,61.32,51.55,32.55,1,0
4.83,29.29,3.67,52.2,85.72,98.2,52.48,45.65,42.26,0,1
11.23,21.33,10.77,38.48,53.11,52.06,70.46,56.43,41.25,0,0
29.12,7.91,23.96,78.98,65.28,60.41,47.22,62.58,41.25,0,0
1.51,21.09,5.43,25.29,17.75,57.38,43.85,45.61,60.75,0,1
2.78,2.08,5.33,56.61,71.57,63.54,73.69,61.45,61.04,1,1
4.46,43.65,1.43,21.25,74.15,86.07,30.46,52.3,64.75,0,1
2.45,2.73,1.58,43.96,4.18,23.62,62.61,38.73,69.4,1,0
47.37,2.83,6.99,51.57,99.1,52.65,49.92,56.08,62.66,1,0
21.95,3.2,4.85,12.54,18.8,39.36,51.88,31.59,46.91,1,0
23.68,4.25,9.0,47.34,43.47,50.54,38.21,28.32,63.02,0,0
5.36,3.58,17.96,99.32,71.47,25.53,59.01,45.9,41.39,1,0
31.9,7.64,7.75,20.27,75.87,68.93,69.27,40.58,50.62,0,0
1.96,13.91,5.37,62.93,96.5,97.11,49.9,17.21,62.93,0,1
4.97,3.86,1.97,26.58,32.81,70.24,48.26,26.57,51.63,1,0
10.23,4.83,10.62,58.73,77.41,45.35,49.82,32.83,73.72,1,0
1.87,7.23,2.71,65.78,9.86,56.84,54.94,45.43,48.78,0,0
6.37,15.73,1.35,61.66,67.55,1.34,54.83,23.58,38.62,1,1
13.5,1.33,1.92,8.61,88.12,11.39,36.33,33.96,28.35,1,0
16.33,2.8,12.12,8.2,34.65,32.55,75.38,36.76,49.55,1,0
1.49,7.41,10.88,71.16,41.27,14.07,47.09,35.16,59.69,0,1
4.48,3.07,10.08,49.9,48.53,7.01,43.53,49.58,63.73,1,0
4.13,23.27,8.15,71.81,79.86,42.52,56.79,61.87,50.69,0,0
16.69,7.74,3.23,39.54,76.01,76.62,66.51,53.07,33.56,0,0
9.91,2.59,1.81,70.91,50.0,9.16,71.67,55.26,60.76,1,0
1.42,11.95,12.17,91.22,41.12,70.86,52.83,41.57,71.32,0,0
9.85,3.98,22.3,5.26,98.36,29.41,63.5,58.13,46.7,1,0
5.3,12.79,15.58,6.69,90.68,39.54,46.78,44.72,81.16,0,0
32.97,4.75,7.43,67.21,54.49,10.92,39.74,44.36,36.54,1,0
7.27,7.95,4.97,71.6,68.98,11.66,39.95,44.37,36.93,1,1
10.28,18.73,28.18,71.93,64.55,82.93,39.65,46.83,59.53,0,0
3.68,3.98,24.59,24.08,7.17,15.41,31.43,48.72,76.97,0,0
3.68,3.31,3.61,44.05,67.41,63.12,60.32,49.04,71.37,1,1
2.49,21.43,5.84,17.05,1.88,86.48,40.76,36.0,55.77,0,0
15.17,20.87,6.03,66.02,94.89,87.65,64.97,26.38,45.68,0,0
32.14,18.65,2.87,63.0,63.66,22.99,41.39,49.08,48.98,0,0
2.08,23.41,8.84,67.28,33.65,16.77,24.94,53.92,38.95,0,0
3.62,16.93,5.6,78.67,22.16,42.88,53.54,66.4,41.68,0,0
27.36,14.51,3.04,29.69,31.59,80.87,60.36,52.77,46.56,0,0
2.4,5.96,1.27,96.67,7.31,82.48,58.84,51.42,54.25,0,1
30.39,7.68,12.19,89.7,54.08,29.33,30.79,42.7,49.28,1,0
5.16,30.77,2.08,20.94,74.39,50.42,34.5,40.98,32.32,0,1
19.03,2.72,8.67,79.63,7.6,61.64,57.97,36.91,14.48,1,0
23.04,16.58,9.78,13.19,31.67,96.92,56.3,30.56,39.16,0,0
9.86,1.82,3.52,53.11,53.57,99.94,61.92,66.18,48.52,1,0
20.97,9.07,6.96,54.3,49.06,29.09,43.15,41.23,40.91,1,0
18.75,5.84,1.82,27.16,55.61,57.0,51.74,45.91,51.76,1,0
3.58,11.6,11.17,91.96,90.15,12.01,54.85,56.46,50.22,1,0
1.65,9.07,6.16,19.43,73.81,10.25,84.58,44.56,33.49,0,1
8.69,15.98,2.23,69.58,10.53,5.47,29.12,47.92,42.51,0,0
8.16,5.29,8.6,78.52,19.87,91.69,38.86,47.04,30.06,0,0
9.87,5.92,35.48,24.13,14.35,76.99,43.68,37.62,37.8,0,0
6.66,3.0,2.61,51.07,54.79,33.84,23.1,63.17,59.33,1,0
2.19,15.14,13.71,71.45,3.52,8.93,48.35,48.57,44.48,0,0
22.2,14.49,3.39,2.74,24.87,24.98,29.93,46.94,55.38,0,0
17.98,4.36,1.82,24.8,92.64,28.09,61.7,40.25,60.66,1,0
15.68,1.71,8.44,79.74,86.67,70.85,71.89,58.88,56.01,1,0
1.63,12.13,1.0,93.7,96.91,38.16,44.51,36.46,70.92,0,1
2.94,6.29,2.6,50.76,84.61,6.95,39.64,30.08,57.8,0,1
17.77,31.75,6.2,54.84,19.68,56.54,40.18,33.53,47.33,0,0
1.38,8.75,7.71,5.31,74.41,4.47,63.92,37.92,46.63,0,0
4.23,13.23,12.9,66.32,49.71,34.89,47.35,64.33,52.98,0,0
1.36,12.79,15.75,92.38,95.08,60.07,46.83,35.34,39.52,0,0
1.09,13.1,4.29,51.84,54.27,48.04,57.51,36.05,64.21,0,1
10.2,7.86,12.12,97.03,2.4,97.99,52.49,36.26,54.67,0,0
4.24,3.75,3.23,63.92,42.77,26.3,45.54,65.81,64.45,0,0
25.05,10.31,44.37,60.25,58.55,82.84,67.42,60.86,46.6,0,0
5.08,1.51,2.06,72.83,42.73,71.76,44.56,40.04,53.12,1,0
9.0,7.13,2.88,22.47,36.03,69.21,60.57,38.04,59.72,0,1
2.33,9.96,8.36,71.96,71.07,80.66,58.05,59.83,48.58,0,0
6.2,8.08,13.81,94.38,36.98,92.12,59.12,48.56,52.74,1,0
9.99,3.66,10.43,73.26,51.56,20.91,28.37,46.38,57.54,1,0
11.93,7.64,2.72,28.78,36.34,52.1,23.15,52.16,48.24,0,1
8.43,8.41,3.17,42.66,26.62,97.87,55.12,35.31,46.77,0,0
10.87,2.5,7.85,10.41,86.83,91.2,54.96,39.77,55.92,1,0
6.8,37.74,7.99,10.09,67.73,12.77,37.74,28.34,57.45,0,1
2.81,1.39,10.84,21.23,77.65,97.53,33.18,65.25,34.55,1,0
7.23,6.76,8.18,14.74,85.22,15.3,53.12,44.8,48.21,1,1
2.75,12.64,5.37,86.17,56.46,57.84,49.98,43.33,37.71,0,0
2.61,2.27,5.5,24.1,62.3,86.84,47.26,39.05,62.79,1,1
10.17,6.17,18.45,26.44,87.05,93.79,25.5,30.65,46.97,1,0
4.28,17.88,4.58,56.66,4.66,98.25,33.8,59.0,77.03,0,0
4.14,24.78,4.64,28.99,38.15,37.48,48.87,28.21,58.21,0,1
9.71,3.96,3.31,19.36,4.21,59.36,64.37,53.44,40.8,0,0
7.5,6.82,6.71,87.88,77.33,47.0,48.24,46.68,19.15,1,1
23.29,23.48,14.77,67.34,2.72,54.35,53.55,57.53,58.68,0,0
2.89,20.85,18.49,71.05,46.24,11.6,44.14,49.59,52.3,0,0
7.89,3.24,1.59,68.8,95.75,22.99,57.91,36.93,56.58,1,0
5.94,3.03,3.3,73.55,96.87,28.7,60.93,26.93,63.85,1,0
1.78,40.07,1.43,19.19,2.13,41.73,46.25,29.08,50.96,0,1
10.98,1.17,5.0,57.49,21.32,46.16,50.52,31.07,57.96,1,0
10.5,11.89,5.94,14.44,66.89,29.04,65.8,42.56,45.35,0,0
9.92,3.69,3.7,18.25,44.13,46.52,41.89,59.98,37.34,1,0
8.73,4.2,9.12,73.85,95.94,2.92,37.96,28.74,53.61,1,1
10.39,8.18,22.47,93.07,70.05,20.57,70.55,46.31,89.11,0,0
10.31,7.82,25.0,38.53,98.61,71.28,41.16,46.28,39.03,1,0
1.24,1.96,3.78,72.64,21.24,81.06,69.73,45.96,52.22,0,1
14.74,3.91,8.52,94.44,47.59,36.9,54.17,51.92,40.01,1,0
2.58,1.28,2.11,76.73,91.41,3.75,36.32,46.26,71.36,1,1
1.5,4.43,1.99,58.78,45.24,84.37,45.53,43.74,28.32,1,1
4.63,4.13,13.53,35.78,97.86,74.69,29.98,48.58,44.24,1,0
4.38,10.28,17.12,13.32,53.47,2.23,62.55,46.71,59.95,1,0
3.8,9.55,5.56,75.49,97.26,27.97,46.77,41.92,72.3,0,1
1.17,1.6,2.5,33.26,1.46,17.63,42.59,35.36,58.2,0,0
5.52,6.57,1.73,82.39,87.37,6.57,26.08,50.2,53.67,0,1
14.97,16.49,20.51,23.07,45.34,48.41,43.85,60.69,43.31,0,0
15.87,18.49,5.69,91.24,69.01,70.76,41.93,53.7,41.6,0,0
4.73,4.04,2.31,3.51,45.0,1.2,36.18,59.16,67.63,1,1
4.56,5.45,4.8,20.24,93.79,36.9,42.43,43.95,49.55,1,1
2.14,2.86,4.78,7.84,31.04,72.74,60.32,49.68,51.05,1,0
11.77,7.76,9.21,15.02,22.28,2.44,49.92,43.58,56.01,0,0
19.26,7.41,2.59,85.73,51.18,50.74,52.23,41.37,55.15,1,0
4.64,4.14,4.02,24.01,6.94,77.53,41.04,61.48,69.47,0,0
14.73,5.26,9.47,26.97,75.46,67.59,54.84,57.96,66.87,0,0
1.17,8.16,19.93,53.98,10.95,1.99,52.54,41.97,55.5,0,1
7.0,25.91,1.09,50.53,3.24,32.02,17.97,54.82,53.03,0,1
13.98,12.52,13.55,86.9,73.72,71.16,59.82,42.17,62.03,0,1
7.09,10.59,4.2,46.84,35.45,82.95,46.74,54.72,40.97,0,0
1.85,7.4,4.06,40.99,3.92,34.75,31.24,31.67,48.87,0,0
4.16,2.67,4.63,4.32,76.36,38.27,57.79,41.63,59.54,1,1
11.18,10.66,6.77,33.6,85.87,41.45,31.17,48.77,71.08,1,0
1.18,13.8,23.17,68.72,50.45,23.25,59.12,12.53,45.63,0,0
4.54,14.77,6.57,32.94,20.69,36.67,66.47,56.03,47.22,0,0
5.34,2.58,16.62,46.91,55.2,62.76,62.58,48.26,48.66,1,0
38.74,12.13,4.19,26.69,30.77,51.23,32.07,53.0,57.59,0,0
1.61,4.02,2.8,34.66,84.46,97.7,51.38,42.25,54.89,1,1
6.5,5.26,48.26,34.05,84.47,76.16,54.36,37.51,39.93,0,0
5.73,4.72,9.86,76.59,21.53,50.21,72.37,46.9,49.5,1,0
13.13,9.15,8.22,80.88,65.4,72.66,65.39,17.56,50.08,0,1
5.2,17.62,6.53,12.84,2.51,65.39,37.33,37.31,46.12,0,0
7.63,1.69,3.17,18.41,33.82,80.3,66.97,47.93,37.06,1,0
11.14,11.25,1.97,42.14,16.98,13.86,49.54,29.38,89.03,0,0
6.81,26.0,5.81,77.46,90.13,67.42,42.69,46.75,23.99,0,0
4.86,1.24,5.7,64.56,3.64,42.81,47.74,44.83,35.9,0,0
5.74,7.38,17.64,72.43,33.22,53.21,57.94,51.34,62.37,0,0
8.81,11.31,31.68,36.81,1.59,69.94,46.56,57.25,61.3,0,0
2.19,5.86,18.59,78.44,80.81,24.93,56.43,28.45,54.58,1,1
15.59,16.4,4.81,28.4,73.93,54.28,43.97,54.43,50.37,1,1
9.61,8.31,5.3,71.65,40.18,83.36,51.22,56.87,45.25,1,0
1.44,5.5,15.55,99.46,40.16,14.17,55.54,32.13,46.09,0,0
1.45,7.98,6.88,46.75,26.48,58.62,61.99,41.31,51.22,0,0
7.15,1.85,5.97,64.21,89.13,87.21,42.35,55.61,52.29,1,1
6.16,3.66,8.94,92.88,97.02,15.87,42.53,33.23,60.43,1,0
5.66,7.32,3.13,23.22,51.39,10.77,48.81,43.93,67.49,0,0
10.66,60.37,2.21,5.03,18.0,29.64,55.39,43.08,46.83,0,1
6.77,2.58,2.46,79.87,18.11,93.92,75.19,32.05,32.51,1,0
4.65,11.95,3.65,45.01,86.2,44.89,39.71,40.7,35.83,1,0
28.43,20.68,4.07,50.2,21.95,53.82,78.55,23.18,45.0,0,0
2.39,3.94,5.89,4.37,36.72,52.86,52.05,49.04,53.0,1,0
19.52,25.44,19.44,35.09,67.74,81.74,47.23,36.55,50.96,1,0
4.45,7.91,16.26,36.89,96.22,79.88,56.64,48.32,47.12,0,0
1.32,1.11,4.74,10.77,98.97,83.74,40.03,54.87,66.29,1,1
23.71,1.25,17.78,92.06,92.55,90.12,49.15,61.65,41.19,1,0
14.67,1.41,28.58,14.37,62.72,3.31,44.83,51.89,41.87,1,0
1.71,5.83,2.27,93.16,79.72,31.84,42.35,44.56,50.97,0,1
13.25,1.29,6.95,40.42,66.49,63.7,47.24,42.07,55.11,1,1
3.78,5.39,6.37,20.87,89.83,88.5,41.88,58.05,71.76,1,0
13.87,7.23,3.11,2.78,47.27,83.54,41.77,51.03,76.73,0,0
10.22,2.37,21.01,14.67,25.02,74.24,64.26,69.86,56.15,1,0
10.78,12.36,21.8,78.2,17.35,10.59,54.46,72.13,43.62,0,0
1.58,4.56,11.71,91.68,66.78,73.7,29.94,63.37,40.41,0,0
9.04,4.07,3.89,61.67,62.42,22.32,49.49,38.28,68.53,0,0
14.43,7.91,2.25,69.9,97.45,61.47,85.45,61.83,73.33,0,0
3.5,16.75,15.91,97.73,11.01,64.24,43.47,26.53,67.49,0,0
1.71,2.9,10.78,55.97,55.11,1.28,45.29,42.49,60.36,1,0
5.2,7.29,1.82,72.5,27.22,4.35,28.4,63.98,45.63,1,1
13.25,20.17,5.11,70.51,95.77,57.99,48.57,46.65,53.53,0,0
5.76,8.35,2.94,13.55,94.36,20.04,38.51,52.78,68.37,1,1
7.23,3.98,1.5,2.54,67.46,97.46,43.84,34.63,46.16,1,1
1.68,15.78,1.92,91.34,98.15,98.02,28.47,34.04,76.78,0,1
